Image,Blade Range,Total,Update Date,Image URL,Released Year,Model #,Brand,Type,Bevel,Slide,Blade Diameter,Watt,RPM,Power Supply,Soft Start,Laser,Others,Price,REF URL,Positioning/Highlights
,Ø222~267mm,"254
1800
Laser
E Brake
10"" Dual Bevel Slider. Key release of the year. Features Upfront Controls for bevel settings, arbor-mounted laser (`WasherGuide`), and tool-free depth stop. Street price ~$529.",,https://media.cdn.bauhaus/m/181725/15.jpg,2005,4410L,Bosch,1.Benchtop,Dual,Rail,254mm,1800mm,4800,Corded,Soft Start,Laser,E Brake,"10"" Dual Bevel Slider. Key release of the year. Features Upfront Controls for bevel settings, arbor-mounted laser (`WasherGuide`), and tool-free depth stop. Street price ~$529.",http://www.newwoodworker.com/reviews/bosch4410lrvu.html;https://www.google.com/search?q=Bosch+4410L+manual+review,"10"" Dual Bevel Slider. Key release of the year. Features Upfront Controls for bevel settings, arbor-mounted laser (`WasherGuide`), and tool-free depth stop. Street price ~$529."
,Ø222~267mm,"254
1560
-
-
10"" Single Bevel Slider. Replaced 3915. Upfront Controls, 13 Amp motor, lighter weight (54 lbs). Retail ~$488.",,https://media.cdn.bauhaus/m/181725/15.jpg,2008,4405,Bosch,1.Benchtop,Single,Rail,254mm,1560mm,4700,Corded,-,-,-,"10"" Single Bevel Slider. Replaced 3915. Upfront Controls, 13 Amp motor, lighter weight (54 lbs). Retail ~$488.",http://www.woodworkersjournal.com/bosch-4405-10-single-bevel-slide-miter-saw/;https://www.google.com/search?q=Bosch+4405+release+date+review,"10"" Single Bevel Slider. Replaced 3915. Upfront Controls, 13 Amp motor, lighter weight (54 lbs). Retail ~$488."
,Ø279~333mm,"305
1800
Laser
E Brake
12"" Dual Bevel Slider. Successor to 4412?. Added Arbor Laser, 25.5"" base capacity.",,https://media.cdn.bauhaus/m/181725/15.jpg,2008,5412L,Bosch,1.Benchtop,Dual,Rail,305mm,1800mm,3800,Corded,-,Laser,E Brake,"12"" Dual Bevel Slider. Successor to 4412?. Added Arbor Laser, 25.5"" base capacity.",https://www.google.com/search?q=Bosch+5412L+review+2008;https://www.google.com/search?q=Bosch+5412L+manual+pdf,"12"" Dual Bevel Slider. Successor to 4412?. Added Arbor Laser, 25.5"" base capacity."
,Ø279~333mm,"305
1800
-
E Brake
12"" Dual-Bevel Glide Miter Saw. **Flagship Launch**. First ""Rail-Free"" design using articulating arms. Saves 12"" workspace depth.",,https://media.cdn.bauhaus/m/181725/15.jpg,2010,GCM12SD,Bosch,1.Benchtop,Dual,Robust Arm,305mm,1800mm,4000,Corded,Soft Start,-,E Brake,"12"" Dual-Bevel Glide Miter Saw. **Flagship Launch**. First ""Rail-Free"" design using articulating arms. Saves 12"" workspace depth.",https://www.google.com/search?q=Bosch+GCM12SD+release+date+review;https://www.google.com/search?q=Bosch+Axial+Glide+system+press+release+2010,"12"" Dual-Bevel Glide Miter Saw. **Flagship Launch**. First ""Rail-Free"" design using articulating arms. Saves 12"" workspace depth."
,Ø222~267mm,"254
1800
-
E Brake
10"" Dual Bevel Slider. Released Aug 15. Features Upfront Controls, 15 Amp motor, light weight (portable).",,https://media.cdn.bauhaus/m/181725/15.jpg,2011,4310,Bosch,1.Benchtop,Dual,Rail,254mm,1800,4800,Corded,-,-,E Brake,"10"" Dual Bevel Slider. Released Aug 15. Features Upfront Controls, 15 Amp motor, light weight (portable).",https://www.google.com/search?q=Bosch+4310+release+date+woodworking+network;https://www.google.com/search?q=Bosch+4310+review+2011,"10"" Dual Bevel Slider. Released Aug 15. Features Upfront Controls, 15 Amp motor, light weight (portable)."
,Ø222~267mm,"254
1800
-
E Brake
10"" Dual-Bevel Glide. Announced Dec 2013. Brings ""Rail-Free"" tech to 10"" class. Replaces current flagship sliders?",,https://media.cdn.bauhaus/m/181725/15.jpg,2013,CM10GD,Bosch,1.Benchtop,Dual,Robust Arm,254mm,1800mm,4800,Corded,-,-,E Brake,"10"" Dual-Bevel Glide. Announced Dec 2013. Brings ""Rail-Free"" tech to 10"" class. Replaces current flagship sliders?",https://www.google.com/search?q=Bosch+CM10GD+announcement+2013;https://www.google.com/search?q=Bosch+CM10GD+review,"10"" Dual-Bevel Glide. Announced Dec 2013. Brings ""Rail-Free"" tech to 10"" class. Replaces current flagship sliders?"
,Ø191~222mm,"216
1440
-
-
8-1/2"" Single Bevel Slider. Announced Nov 2013. Ultra-portable (37 lbs).",,https://media.cdn.bauhaus/m/181725/15.jpg,2013,CM8S,Bosch,1.Benchtop,Single,Rail,216mm,1440mm,5600,Corded,-,-,-,"8-1/2"" Single Bevel Slider. Announced Nov 2013. Ultra-portable (37 lbs).",https://www.google.com/search?q=Bosch+CM8S+press+release+Nov+2013;https://www.google.com/search?q=Bosch+CM8S+review+2013,"8-1/2"" Single Bevel Slider. Announced Nov 2013. Ultra-portable (37 lbs)."
,Ø279~333mm,"305
1800
-
E Brake
12"" Dual-Bevel Slider (Rail-based?). Introduced World of Concrete (Jan 2015). Alternative/Successor to 5412L?",,https://media.cdn.bauhaus/m/181725/15.jpg,2015,CM12SD,Bosch,1.Benchtop,Dual,Rail,305mm,1800mm,4000,Corded,Soft Start,-,E Brake,"12"" Dual-Bevel Slider (Rail-based?). Introduced World of Concrete (Jan 2015). Alternative/Successor to 5412L?",https://www.google.com/search?q=Bosch+CM12SD+release+date+2015;https://www.google.com/search?q=Bosch+CM12SD+review,"12"" Dual-Bevel Slider (Rail-based?). Introduced World of Concrete (Jan 2015). Alternative/Successor to 5412L?"
,Ø191~222mm,"216
Laser
E Brake
18V 8-1/2"" Single Bevel Slider. **BITURBO Debut**. Announced Dec 2019. Lightweight (32 lbs). US Availability Q1 2020.",,https://media.cdn.bauhaus/m/181725/15.jpg,2019,GCM18V-08N,Bosch,1.Benchtop,Single,Rail,216mm,,4000,Cordless 18V,Soft Start,Laser,E Brake,"18V 8-1/2"" Single Bevel Slider. **BITURBO Debut**. Announced Dec 2019. Lightweight (32 lbs). US Availability Q1 2020.",https://www.google.com/search?q=Bosch+GCM18V-08N+release+date;https://www.google.com/search?q=Bosch+BITURBO+launch+2019,"18V 8-1/2"" Single Bevel Slider. **BITURBO Debut**. Announced Dec 2019. Lightweight (32 lbs). US Availability Q1 2020."
,Ø279~333mm,"305
-
E Brake
12"" Cordless Glide (Global). Released early 2021. US version (GCM18V-12SD) followed in 2022.",,https://media.cdn.bauhaus/m/181725/15.jpg,2021,GCM 18V-305 GDC,Bosch,1.Benchtop,Dual,Rail,305mm,,4000,Cordless 18V,Soft Start,-,E Brake,"12"" Cordless Glide (Global). Released early 2021. US version (GCM18V-12SD) followed in 2022.",https://www.google.com/search?q=Bosch+GCM+18V-305+GDC+release+date;https://www.google.com/search?q=Bosch+BITURBO+miter+saw+launch+2021,"12"" Cordless Glide (Global). Released early 2021. US version (GCM18V-12SD) followed in 2022."
